Model,Best Val Accuracy (%),Test Accuracy (%)
EfficientNetB0,56.42458100558659,53.80434782608695
ResNet50,59.21787709497207,52.17391304347826
DenseNet121,56.42458100558659,51.63043478260869
VGG16,54.18994413407821,52.17391304347826
ViT_B16,55.865921787709496,51.08695652173913
SwinTransformer,59.21787709497207,56.52173913043478
ConvNeXt,60.89385474860335,53.80434782608695
